duration_s,active,3V7_WL_SW_A current(0),3V3_SYS_A current(1),1V8_SYS_A current(2),DDR_VDD2_A current(3),DDR_VDDQ_A current(4),1V1_SYS_A current(5),0V8_SW_A current(6),VDD_CORE_A current(7),3V3_DAC_A current(17),3V3_ADC_A current(18),0V8_AON_A current(16),HDMI_A current(22),3V7_WL_SW_V volt(8),3V3_SYS_V volt(9),1V8_SYS_V volt(10),DDR_VDD2_V volt(11),DDR_VDDQ_V volt(12),1V1_SYS_V volt(13),0V8_SW_V volt(14),VDD_CORE_V volt(15),3V3_DAC_V volt(20),3V3_ADC_V volt(21),0V8_AON_V volt(19),HDMI_V volt(23),EXT5V_V volt(24),BATT_V volt(25)
0.000001,0,0.000000,0.194210,0.146390,0.000000,0.000000,0.181523,0.278140,0.589380,0.000305,0.000549,0.003358,0.015751,3.719264,3.298898,1.796824,1.109156,0.615018,1.102929,0.800732,0.752136,3.303110,3.299447,0.797362,4.928520,4.935220,0.004274
0.030059,0,0.000000,0.199090,0.147365,0.000000,0.000000,0.178595,0.283020,0.589380,0.000244,0.000549,0.003358,0.016361,3.726687,3.327664,1.796824,1.109156,0.615018,1.104761,0.798900,0.750524,3.304942,3.299447,0.797948,4.925840,4.939240,0.003419
0.060055,0,0.000000,0.196162,0.143462,0.000000,0.000000,0.179571,0.278140,0.598310,0.000061,0.000549,0.003175,0.015507,3.719264,3.299826,1.797312,1.101830,0.615750,1.101098,0.800365,0.749181,3.304942,3.300363,0.797948,4.925840,4.939240,0.004274
0.090055,0,0.000976,0.197138,0.147365,0.000000,0.000000,0.180547,0.280092,0.598310,0.000183,0.000672,0.003175,0.016117,3.696064,3.292402,1.797312,1.107691,0.613919,1.104028,0.800732,0.749987,3.303110,3.300363,0.797655,4.924500,4.936560,0.004274
0.120055,0,0.000000,0.197138,0.144438,0.000000,0.000000,0.179571,0.280092,0.598310,0.000244,0.000549,0.003419,0.015629,3.722976,3.307249,1.797800,1.107691,0.614285,1.105127,0.799633,0.749181,3.304026,3.299447,0.797948,4.925840,4.939240,0.004274
0.150055,0,0.000000,0.199090,0.144438,0.000000,0.000000,0.177619,0.282044,0.589380,0.000244,0.000549,0.003236,0.015751,3.698848,3.295186,1.797312,1.101464,0.614285,1.102563,0.801831,0.748913,3.304942,3.299447,0.797655,4.924500,4.939240,0.004274
0.180055,0,0.000000,0.198114,0.144438,0.000000,0.000000,0.179571,0.278140,0.598310,0.000061,0.000549,0.003297,0.016117,3.726687,3.291474,1.798289,1.101830,0.615018,1.102929,0.799633,0.748913,3.304026,3.299447,0.797948,4.925840,4.936560,0.004274
0.210055,0,0.000976,0.197138,0.145414,0.000000,0.000000,0.176643,0.280092,0.589380,0.000061,0.000427,0.003358,0.015751,3.711840,3.301682,1.799266,1.108424,0.614285,1.105127,0.801464,0.756434,3.304942,3.299447,0.797948,4.928520,4.936560,0.004274
0.240055,0,0.000000,0.197138,0.148341,0.000000,0.000000,0.181523,0.278140,0.589380,0.000061,0.000549,0.003236,0.016117,3.726687,3.301682,1.798289,1.101830,0.615750,1.103662,0.800732,0.749450,3.304026,3.300363,0.797362,4.928520,4.935220,0.004274
0.270055,0,0.000000,0.198114,0.146390,0.000000,0.000000,0.180547,0.277164,0.589380,0.000061,0.000549,0.003358,0.015995,3.719264,3.301682,1.797800,1.101830,0.615018,1.100732,0.800732,0.748913,3.305857,3.299447,0.797948,4.925840,4.939240,0.004274
0.300056,0,0.000000,0.199090,0.146390,0.000000,0.000000,0.178595,0.280092,0.589380,0.000549,0.000427,0.003236,0.016606,3.719264,3.294258,1.798289,1.104761,0.611721,1.104028,0.800365,0.749987,3.303110,3.300363,0.797362,4.928520,4.929860,0.004274
0.330055,0,0.000000,0.198114,0.147365,0.000000,0.000000,0.178595,0.280092,0.589380,0.000061,0.000427,0.003114,0.016361,3.700704,3.307249,1.796824,1.104761,0.615018,1.101098,0.801098,0.749450,3.305857,3.299447,0.797948,4.925840,4.935220,0.003419
0.360055,0,0.000000,0.196162,0.146390,0.000000,0.000000,0.190306,0.279116,0.598310,0.000061,0.000427,0.003297,0.016117,3.713696,3.298898,1.797800,1.104761,0.604029,1.102929,0.801098,0.748913,3.303110,3.300363,0.797362,4.925840,4.935220,0.004274
0.390056,0,0.000000,0.197138,0.146390,0.000000,0.000000,0.192258,0.281068,0.589380,0.000122,0.000549,0.003114,0.015751,3.711840,3.298898,1.796824,1.101830,0.616483,1.102929,0.800732,0.749181,3.305857,3.300363,0.798241,4.924500,4.935220,0.004274
0.420055,0,0.000000,0.195186,0.148341,0.000000,0.000000,0.189330,0.280092,0.598310,0.000061,0.000549,0.003236,0.016606,3.696064,3.299826,1.797312,1.101464,0.612820,1.104761,0.801464,0.749987,3.304942,3.300363,0.797362,4.919140,4.929860,0.004274
