duration_s,active,3V7_WL_SW_A current(0),3V3_SYS_A current(1),1V8_SYS_A current(2),DDR_VDD2_A current(3),DDR_VDDQ_A current(4),1V1_SYS_A current(5),0V8_SW_A current(6),VDD_CORE_A current(7),3V3_DAC_A current(17),3V3_ADC_A current(18),0V8_AON_A current(16),HDMI_A current(22),3V7_WL_SW_V volt(8),3V3_SYS_V volt(9),1V8_SYS_V volt(10),DDR_VDD2_V volt(11),DDR_VDDQ_V volt(12),1V1_SYS_V volt(13),0V8_SW_V volt(14),VDD_CORE_V volt(15),3V3_DAC_V volt(20),3V3_ADC_V volt(21),0V8_AON_V volt(19),HDMI_V volt(23),EXT5V_V volt(24),BATT_V volt(25)
0.000001,0,0.000000,0.200066,0.146390,0.000000,0.000000,0.178595,0.278140,0.616170,0.000061,0.000549,0.003236,0.016117,3.711840,3.294258,1.798289,1.107691,0.615018,1.104761,0.800732,0.749450,3.305857,3.300363,0.797655,4.925840,4.935220,0.004274
0.024155,0,0.000000,0.223488,0.147365,0.000000,0.000000,0.179571,0.282044,0.267900,0.000061,0.000427,0.003358,0.015995,3.711840,3.327664,1.797312,1.103296,0.614651,1.104394,0.801831,0.748644,3.307689,3.300363,0.797948,4.919140,4.936560,0.004274
0.048276,0,0.000000,0.202017,0.145414,0.000000,0.000000,0.181523,0.279116,0.616170,0.000305,0.000549,0.003175,0.016606,3.715552,3.299826,1.797800,1.104761,0.612820,1.102929,0.800365,0.749718,3.305857,3.300363,0.797655,4.924500,4.936560,0.004274
0.072406,0,0.000000,0.202993,0.146390,0.000000,0.000000,0.190306,0.283020,0.616170,0.000061,0.000549,0.003236,0.016606,3.711840,3.292402,1.798289,1.102929,0.615750,1.102929,0.801831,0.749450,3.304026,3.299447,0.797948,4.925840,4.935220,0.004274
0.096536,0,0.000000,0.202017,0.149317,0.000000,0.000000,0.180547,0.279116,0.616170,0.000122,0.000549,0.003419,0.015629,3.711840,3.289618,1.796824,1.107691,0.615750,1.100732,0.802930,0.749450,3.305857,3.300363,0.797362,4.919140,4.933880,0.004274
0.120654,0,0.000000,0.202017,0.145414,0.000000,0.000000,0.181523,0.279116,0.616170,0.000061,0.000549,0.003358,0.015995,3.704416,3.294258,1.799266,1.109156,0.615750,1.102929,0.799633,0.749181,3.307689,3.300363,0.797655,4.928520,4.936560,0.004274
0.144756,0,0.000000,0.204945,0.147365,0.000000,0.000000,0.180547,0.281068,0.616170,0.000244,0.000549,0.003358,0.015751,3.704416,3.293330,1.797312,1.102563,0.615750,1.104761,0.800732,0.749181,3.305857,3.300363,0.797362,4.919140,4.936560,0.004274
0.168884,0,0.000000,0.197138,0.178595,0.000000,0.000000,0.177619,0.279116,0.607240,0.000061,0.000427,0.003297,0.015873,3.719264,3.293330,1.799266,1.101830,0.613552,1.102929,0.799633,0.749450,3.304942,3.300363,0.797948,4.925840,4.929860,0.004274
0.192980,0,0.000976,0.201042,0.146390,0.000000,0.000000,0.190306,0.279116,0.616170,0.000244,0.000549,0.003236,0.015873,3.711840,3.301682,1.797800,1.107691,0.613919,1.102197,0.800732,0.749181,3.305857,3.302194,0.798241,4.924500,4.929860,0.004274
0.217094,0,0.000000,0.202993,0.145414,0.000000,0.000000,0.181523,0.280092,0.625100,0.000183,0.000672,0.003358,0.016117,3.710912,3.292402,1.797312,1.106226,0.615384,1.101098,0.800732,0.749181,3.305857,3.300363,0.797655,4.927180,4.936560,0.004274
0.241197,0,0.000000,0.199090,0.144438,0.000000,0.000000,0.178595,0.280092,0.616170,0.000244,0.000549,0.003236,0.015507,3.697920,3.291474,1.797312,1.101464,0.612820,1.101098,0.800732,0.749450,3.304942,3.299447,0.797948,4.925840,4.933880,0.004274
0.265312,0,0.000000,0.217632,0.145414,0.000000,0.000000,0.179571,0.279116,0.616170,0.000183,0.000549,0.003297,0.015507,3.711840,3.301682,1.796824,1.101830,0.614285,1.104761,0.800732,0.749450,3.305857,3.302194,0.797362,4.919140,4.932540,0.004274
