duration_s,active,3V7_WL_SW_A current(0),3V3_SYS_A current(1),1V8_SYS_A current(2),DDR_VDD2_A current(3),DDR_VDDQ_A current(4),1V1_SYS_A current(5),0V8_SW_A current(6),VDD_CORE_A current(7),3V3_DAC_A current(17),3V3_ADC_A current(18),0V8_AON_A current(16),HDMI_A current(22),3V7_WL_SW_V volt(8),3V3_SYS_V volt(9),1V8_SYS_V volt(10),DDR_VDD2_V volt(11),DDR_VDDQ_V volt(12),1V1_SYS_V volt(13),0V8_SW_V volt(14),VDD_CORE_V volt(15),3V3_DAC_V volt(20),3V3_ADC_V volt(21),0V8_AON_V volt(19),HDMI_V volt(23),EXT5V_V volt(24),BATT_V volt(25)
0.000001,0,0.000000,0.199090,0.146390,0.000000,0.000000,0.178595,0.280092,0.625100,0.000061,0.000427,0.003297,0.015995,3.711840,3.357359,1.796824,1.104394,0.615384,1.103662,0.801098,0.752136,3.305857,3.300363,0.797362,4.925840,4.935220,0.004274
0.050058,0,0.000000,0.201042,0.147365,0.000000,0.000000,0.178595,0.280092,0.625100,0.000061,0.000427,0.003175,0.015873,3.719264,3.293330,1.797312,1.107691,0.611355,1.104761,0.801098,0.749450,3.304942,3.299447,0.797948,4.925840,4.939240,0.004274
0.100056,0,0.000000,0.201042,0.147365,0.000000,0.000000,0.190306,0.280092,0.625100,0.000244,0.000549,0.003297,0.016117,3.710912,3.298898,1.798289,1.103296,0.615018,1.104028,0.800365,0.756434,3.304942,3.299447,0.797655,4.925840,4.939240,0.004274
0.150055,0,0.000000,0.202993,0.148341,0.000000,0.000000,0.190306,0.278140,0.625100,0.000061,0.000549,0.003114,0.015507,3.698848,3.357359,1.796824,1.108424,0.616117,1.104761,0.798900,0.751062,3.304942,3.299447,0.797948,4.928520,4.936560,0.004274
0.200056,0,0.000000,0.202017,0.147365,0.000000,0.000000,0.180547,0.282044,0.625100,0.000183,0.000549,0.003297,0.016606,3.711840,3.301682,1.798289,1.105127,0.616117,1.104394,0.800732,0.749181,3.304942,3.299447,0.797948,4.925840,4.936560,0.004274
0.250056,0,0.000000,0.198114,0.144438,0.000000,0.000000,0.179571,0.280092,0.625100,0.000061,0.000549,0.003358,0.015507,3.711840,3.297970,1.796824,1.107691,0.614285,1.104761,0.800732,0.749450,3.305857,3.300363,0.798241,4.923160,4.937900,0.004274
0.300056,0,0.000976,0.198114,0.144438,0.000000,0.000000,0.179571,0.281068,0.625100,0.000061,0.000549,0.003297,0.015629,3.726687,3.327664,1.795847,1.107691,0.615018,1.104028,0.799633,0.749181,3.304942,3.299447,0.797655,4.925840,4.935220,0.004274
0.350056,0,0.000000,0.200066,0.146390,0.000000,0.000000,0.178595,0.281068,0.625100,0.000061,0.000427,0.003358,0.015629,3.711840,3.307249,1.796824,1.106226,0.616117,1.104028,0.801831,0.748913,3.304942,3.299447,0.797655,4.925840,4.935220,0.004274
0.400056,0,0.000000,0.206897,0.146390,0.000000,0.000000,0.179571,0.281068,0.625100,0.000244,0.000611,0.003419,0.015507,3.711840,3.293330,1.797312,1.104028,0.615750,1.104394,0.801464,0.750524,3.306773,3.299447,0.797655,4.924500,4.932540,0.004274
0.450056,0,0.000000,0.207873,0.146390,0.000000,0.000000,0.179571,0.280092,0.625100,0.000244,0.000549,0.003419,0.015873,3.711840,3.292402,1.796824,1.108424,0.616117,1.104761,0.801831,0.748644,3.305857,3.300363,0.798241,4.919140,4.935220,0.004274
