duration_s,active,3V7_WL_SW_A current(0),3V3_SYS_A current(1),1V8_SYS_A current(2),DDR_VDD2_A current(3),DDR_VDDQ_A current(4),1V1_SYS_A current(5),0V8_SW_A current(6),VDD_CORE_A current(7),3V3_DAC_A current(17),3V3_ADC_A current(18),0V8_AON_A current(16),HDMI_A current(22),3V7_WL_SW_V volt(8),3V3_SYS_V volt(9),1V8_SYS_V volt(10),DDR_VDD2_V volt(11),DDR_VDDQ_V volt(12),1V1_SYS_V volt(13),0V8_SW_V volt(14),VDD_CORE_V volt(15),3V3_DAC_V volt(20),3V3_ADC_V volt(21),0V8_AON_V volt(19),HDMI_V volt(23),EXT5V_V volt(24),BATT_V volt(25)
0.000001,0,0.000000,0.194210,0.146390,0.000000,0.000000,0.177619,0.279116,0.580450,0.000183,0.000672,0.003297,0.015873,3.699776,3.301682,1.796824,1.101830,0.614651,1.104394,0.800732,0.747569,3.304942,3.300363,0.797948,4.925840,4.935220,0.004274
0.489737,1,0.000000,0.192258,0.147365,0.011711,0.000000,0.180547,0.280092,1.062670,0.000305,0.000549,0.003236,0.015995,3.713696,3.293330,1.798289,1.102563,0.601831,1.102929,0.801098,0.749987,3.305857,3.299447,0.797655,4.907080,4.931200,0.004274
1.000057,1,0.000976,0.195186,0.153221,0.000000,0.000000,0.178595,0.279116,0.884070,0.000183,0.000427,0.003358,0.015873,3.715552,3.357359,1.796335,1.109156,0.615018,1.102929,0.801098,0.879999,3.304026,3.300363,0.797948,4.907080,4.921820,0.004274
1.500056,1,0.000000,0.198114,0.153221,0.000000,0.000000,0.177619,0.279116,0.884070,0.000244,0.000549,0.003358,0.015995,3.710912,3.292402,1.797312,1.101464,0.614651,1.102197,0.799267,0.879193,3.305857,3.300363,0.798241,4.912440,4.924500,0.004274
2.000056,1,0.000000,0.194210,0.152245,0.000000,0.000000,0.178595,0.279116,0.901930,0.000183,0.000427,0.003358,0.016239,3.700704,3.325809,1.797800,1.101464,0.615384,1.104761,0.801464,0.879193,3.304942,3.300363,0.797655,4.911100,4.921820,0.004274
2.500056,1,0.000976,0.198114,0.154197,0.000000,0.000000,0.180547,0.278140,0.901930,0.000183,0.000427,0.003236,0.016239,3.705344,3.293330,1.796335,1.102197,0.614285,1.104761,0.800732,0.879999,3.304942,3.299447,0.797948,4.909760,4.923160,0.004274
3.000057,1,0.000000,0.197138,0.151269,0.000000,0.000000,0.179571,0.279116,0.901930,0.000183,0.000672,0.003358,0.015751,3.696064,3.301682,1.798289,1.110622,0.615018,1.104028,0.800732,0.879193,3.303110,3.299447,0.797655,4.913780,4.925840,0.004274
3.500056,1,0.000000,0.198114,0.154197,0.000000,0.000000,0.179571,0.279116,0.910860,0.000183,0.000427,0.003297,0.016239,3.696064,3.307249,1.797312,1.107691,0.615750,1.102929,0.801098,0.879462,3.305857,3.300363,0.797948,4.912440,4.925840,0.004274
4.000057,1,0.000000,0.199090,0.153221,0.000000,0.000000,0.179571,0.281068,0.901930,0.000183,0.000427,0.003236,0.016117,3.697920,3.292402,1.798289,1.107691,0.615750,1.102197,0.800365,0.879462,3.304942,3.299447,0.797948,4.907080,4.925840,0.004274
4.500056,1,0.000000,0.199090,0.149317,0.000000,0.000000,0.179571,0.279116,0.893000,0.000977,0.000672,0.003236,0.015995,3.710912,3.295186,1.797312,1.101464,0.615018,1.101830,0.801831,0.879462,3.304942,3.300363,0.797655,4.912440,4.919140,0.004274
5.000055,1,0.000000,0.204945,0.151269,0.000000,0.000000,0.180547,0.278140,0.893000,0.000244,0.000549,0.003358,0.016117,3.700704,3.325809,1.796824,1.109156,0.616483,1.100732,0.800732,0.879999,3.304942,3.299447,0.797948,4.909760,4.923160,0.004274
5.500058,1,0.001952,0.203969,0.153221,0.000000,0.000000,0.179571,0.279116,0.910860,0.000183,0.000427,0.003297,0.015507,3.704416,3.293330,1.796824,1.107325,0.615018,1.101098,0.801098,0.879193,3.305857,3.300363,0.797655,4.913780,4.923160,0.004274
6.000055,1,0.000976,0.197138,0.154197,0.000000,0.000000,0.190306,0.278140,0.901930,0.000183,0.000427,0.003236,0.016361,3.697920,3.292402,1.797312,1.102929,0.615018,1.101098,0.798900,0.879999,3.304942,3.300363,0.797655,4.907080,4.923160,0.004274
6.500055,1,0.001952,0.197138,0.154197,0.000000,0.000000,0.190306,0.279116,1.419870,0.000122,0.000549,0.003297,0.015751,3.715552,3.299826,1.797312,1.102197,0.611355,1.101464,0.801098,0.879193,3.304942,3.299447,0.797655,4.895020,4.903060,0.004274
7.000055,1,0.000000,0.199090,0.153221,0.000000,0.000000,0.177619,0.279116,1.419870,0.000244,0.000549,0.003358,0.016117,3.702560,3.301682,1.797800,1.103296,0.613552,1.101464,0.801831,0.878656,3.305857,3.300363,0.798241,4.897700,4.904400,0.004274
7.500056,1,0.000976,0.199090,0.155173,0.000000,0.000000,0.179571,0.279116,0.910860,0.000183,0.000427,0.003236,0.016484,3.711840,3.293330,1.796824,1.102563,0.615750,1.104028,0.800732,0.879193,3.305857,3.300363,0.797362,4.912440,4.920480,0.004274
8.000058,1,0.001952,0.196162,0.151269,0.000000,0.000000,0.178595,0.279116,0.901930,0.000244,0.000549,0.003297,0.015507,3.715552,3.294258,1.798289,1.102197,0.610988,1.104028,0.801831,0.879193,3.305857,3.302194,0.797655,4.912440,4.924500,0.004274
8.500056,1,0.000000,0.199090,0.152245,0.000000,0.000000,0.180547,0.280092,0.901930,0.000183,0.000427,0.003297,0.017094,3.700704,3.292402,1.797800,1.107691,0.615750,1.101098,0.801831,0.879462,3.305857,3.300363,0.797948,4.907080,4.919140,0.003419
9.000062,1,0.000976,0.197138,0.151269,0.000000,0.000000,0.177619,0.283020,0.901930,0.000061,0.000672,0.003358,0.016117,3.719264,3.301682,1.797800,1.101464,0.615018,1.104394,0.800732,0.879462,3.304942,3.302194,0.797655,4.913780,4.921820,0.004274
9.500057,1,0.000976,0.199090,0.154197,0.000000,0.000000,0.178595,0.281068,0.910860,0.000183,0.000427,0.003297,0.015995,3.711840,3.292402,1.796824,1.104761,0.615018,1.101098,0.802930,0.879462,3.304942,3.300363,0.797655,4.912440,4.923160,0.004274
10.000076,1,0.000000,0.198114,0.148341,0.000000,0.000000,0.179571,0.280092,0.901930,0.000183,0.000427,0.003297,0.016117,3.700704,3.298898,1.796824,1.104394,0.614285,1.104028,0.800732,0.879999,3.304942,3.299447,0.797655,4.907080,4.920480,0.004274
10.500056,1,0.000000,0.195186,0.153221,0.000000,0.000000,0.179571,0.279116,0.901930,0.000244,0.000549,0.003297,0.016117,3.704416,3.307249,1.798289,1.108790,0.615018,1.104028,0.801098,0.879999,3.304026,3.300363,0.797655,4.912440,4.920480,0.004274
11.000058,1,0.000000,0.204945,0.150293,0.000000,0.000000,0.180547,0.279116,0.678680,0.000244,0.000549,0.003297,0.016606,3.726687,3.293330,1.797800,1.109156,0.615750,1.104761,0.800732,0.779535,3.304942,3.299447,0.797948,4.920480,4.921820,0.004274
11.500064,1,0.000000,0.199090,0.146390,0.000000,0.000000,0.189330,0.283996,1.241270,0.000061,0.000672,0.003236,0.015629,3.711840,3.301682,1.797312,1.109156,0.614285,1.102929,0.801098,0.749450,3.303110,3.299447,0.797948,4.917800,4.920480,0.004274
12.000057,1,0.000000,0.213729,0.153221,0.000000,0.000000,0.189330,0.282044,0.901930,0.000244,0.000549,0.003358,0.016606,3.711840,3.357359,1.796824,1.103296,0.615018,1.104394,0.800365,0.878925,3.304942,3.300363,0.797655,4.908420,4.923160,0.004274
12.500055,1,0.000000,0.196162,0.153221,0.000000,0.000000,0.200066,0.279116,0.893000,0.000183,0.000672,0.003297,0.016606,3.701632,3.301682,1.797312,1.104761,0.615384,1.104028,0.801098,0.879193,3.305857,3.299447,0.797948,4.911100,4.919140,0.003419
13.000056,1,0.000000,0.196162,0.153221,0.000000,0.000000,0.178595,0.281068,0.901930,0.000183,0.000427,0.003236,0.015751,3.711840,3.293330,1.797312,1.106959,0.615018,1.104394,0.801831,0.879193,3.305857,3.299447,0.797655,4.911100,4.920480,0.004274
13.500055,1,0.000976,0.198114,0.151269,0.000000,0.000000,0.179571,0.281068,0.901930,0.000183,0.000427,0.003236,0.016606,3.726687,3.293330,1.797312,1.109156,0.615750,1.102929,0.799633,0.879462,3.304026,3.300363,0.797948,4.908420,4.921820,0.004274
14.000055,1,0.000000,0.196162,0.152245,0.000000,0.000000,0.178595,0.282044,0.919790,0.000244,0.000549,0.003358,0.016606,3.711840,3.298898,1.796824,1.106226,0.614651,1.101464,0.800732,0.878925,3.304942,3.300363,0.797948,4.911100,4.924500,0.004274
