duration_s,active,3V7_WL_SW_A current(0),3V3_SYS_A current(1),1V8_SYS_A current(2),DDR_VDD2_A current(3),DDR_VDDQ_A current(4),1V1_SYS_A current(5),0V8_SW_A current(6),VDD_CORE_A current(7),3V3_DAC_A current(17),3V3_ADC_A current(18),0V8_AON_A current(16),HDMI_A current(22),3V7_WL_SW_V volt(8),3V3_SYS_V volt(9),1V8_SYS_V volt(10),DDR_VDD2_V volt(11),DDR_VDDQ_V volt(12),1V1_SYS_V volt(13),0V8_SW_V volt(14),VDD_CORE_V volt(15),3V3_DAC_V volt(20),3V3_ADC_V volt(21),0V8_AON_V volt(19),HDMI_V volt(23),EXT5V_V volt(24),BATT_V volt(25)
0.000001,0,0.000000,0.212753,0.146390,0.000000,0.000000,0.178595,0.282044,0.589380,0.000305,0.000672,0.003297,0.016606,3.710912,3.291474,1.797800,1.107691,0.614285,1.106226,0.803296,0.748644,3.305857,3.302194,0.798241,4.931200,4.935220,0.004274
0.200060,0,0.000000,0.212753,0.146390,0.000000,0.000000,0.179571,0.280092,0.598310,0.000244,0.000672,0.003297,0.016117,3.713696,3.301682,1.797312,1.101830,0.615018,1.102929,0.800732,0.749450,3.304942,3.299447,0.797948,4.927180,4.935220,0.005128
0.400057,0,0.000000,0.212753,0.148341,0.000000,0.000000,0.179571,0.280092,0.598310,0.000183,0.000794,0.003358,0.015873,3.710912,3.311889,1.798289,1.104761,0.616849,1.104761,0.801098,0.749718,3.306773,3.302194,0.798241,4.924500,4.939240,0.005128
0.489373,1,0.000000,0.212753,0.154197,0.039037,0.000000,0.179571,0.290827,1.187690,0.000305,0.000672,0.003358,0.016361,3.710912,3.301682,1.796824,1.101830,0.602930,1.102197,0.801464,0.770402,3.305857,3.299447,0.797948,4.920480,4.927180,0.005128
0.800066,1,0.000000,0.212753,0.145414,0.000000,0.000000,0.180547,0.281068,0.589380,0.000305,0.000672,0.003175,0.016361,3.699776,3.299826,1.798777,1.110622,0.616483,1.106226,0.801098,0.749450,3.306773,3.299447,0.797948,4.927180,4.936560,0.004274
1.000057,1,0.000000,0.228368,0.146390,0.000000,0.000000,0.179571,0.281068,0.589380,0.000305,0.000672,0.003419,0.016117,3.711840,3.301682,1.797800,1.103296,0.615018,1.104761,0.800732,0.749450,3.306773,3.302194,0.797948,4.927180,4.936560,0.005128
1.200057,1,0.000000,0.209825,0.147365,0.000000,0.000000,0.180547,0.281068,0.589380,0.000305,0.000549,0.003297,0.015995,3.715552,3.301682,1.798777,1.107691,0.616117,1.100732,0.799633,0.749450,3.307689,3.300363,0.797948,4.919140,4.936560,0.005128
1.400059,1,0.000000,0.211777,0.146390,0.000000,0.000000,0.179571,0.283996,0.589380,0.000305,0.000672,0.003358,0.015995,3.710912,3.293330,1.798289,1.104761,0.611355,1.104028,0.800365,0.749718,3.305857,3.302194,0.798241,4.928520,4.939240,0.005128
1.600059,1,0.000000,0.213729,0.147365,0.000000,0.000000,0.179571,0.282044,0.589380,0.000305,0.000672,0.003236,0.015751,3.699776,3.301682,1.798289,1.104761,0.616483,1.104394,0.800732,0.748644,3.306773,3.302194,0.797948,4.924500,4.937900,0.005128
1.800056,1,0.000000,0.215681,0.146390,0.000000,0.000000,0.179571,0.280092,0.589380,0.000305,0.000672,0.003297,0.016606,3.701632,3.301682,1.798289,1.101464,0.615750,1.104394,0.799633,0.749450,3.305857,3.300363,0.798241,4.919140,4.929860,0.005128
2.000057,1,0.000000,0.216657,0.148341,0.000000,0.000000,0.203969,0.279116,0.589380,0.000305,0.000672,0.003236,0.016361,3.703488,3.295186,1.798777,1.101464,0.616849,1.106226,0.800732,0.749181,3.304942,3.300363,0.797655,4.924500,4.939240,0.004274
2.200057,1,0.000000,0.214705,0.144438,0.000000,0.000000,0.180547,0.282044,0.589380,0.000305,0.000733,0.003358,0.015995,3.711840,3.298898,1.796824,1.104761,0.613919,1.102929,0.801464,0.749181,3.306773,3.299447,0.798241,4.927180,4.935220,0.005128
2.400058,1,0.001952,0.210801,0.145414,0.000000,0.000000,0.180547,0.281068,0.598310,0.000305,0.000672,0.003236,0.015873,3.703488,3.299826,1.798777,1.107691,0.616849,1.104028,0.800732,0.749987,3.306773,3.300363,0.798241,4.924500,4.935220,0.005128
2.600057,1,0.000000,0.213729,0.147365,0.000000,0.000000,0.179571,0.280092,0.580450,0.000305,0.000672,0.003236,0.016361,3.704416,3.295186,1.798289,1.109156,0.616483,1.101464,0.801831,0.749450,3.304942,3.299447,0.797948,4.925840,4.929860,0.005128
