duration_s,active,3V7_WL_SW_A current(0),3V3_SYS_A current(1),1V8_SYS_A current(2),DDR_VDD2_A current(3),DDR_VDDQ_A current(4),1V1_SYS_A current(5),0V8_SW_A current(6),VDD_CORE_A current(7),3V3_DAC_A current(17),3V3_ADC_A current(18),0V8_AON_A current(16),HDMI_A current(22),3V7_WL_SW_V volt(8),3V3_SYS_V volt(9),1V8_SYS_V volt(10),DDR_VDD2_V volt(11),DDR_VDDQ_V volt(12),1V1_SYS_V volt(13),0V8_SW_V volt(14),VDD_CORE_V volt(15),3V3_DAC_V volt(20),3V3_ADC_V volt(21),0V8_AON_V volt(19),HDMI_V volt(23),EXT5V_V volt(24),BATT_V volt(25)
0.000001,0,0.000000,0.207873,0.146390,0.000000,0.000000,0.179571,0.280092,0.598310,0.000244,0.000672,0.003419,0.016117,3.711840,3.307249,1.798777,1.101830,0.614651,1.101464,0.799633,0.749181,3.305857,3.299447,0.797948,4.927180,4.939240,0.004274
0.050061,0,0.000000,0.211777,0.146390,0.000000,0.000000,0.179571,0.281068,0.589380,0.000305,0.000672,0.003541,0.015873,3.710912,3.325809,1.799266,1.102929,0.615018,1.103296,0.800365,0.749718,3.305857,3.299447,0.797948,4.928520,4.936560,0.004274
0.100055,0,0.000000,0.211777,0.147365,0.000000,0.000000,0.178595,0.280092,0.598310,0.000305,0.000549,0.003419,0.016117,3.711840,3.292402,1.798289,1.108058,0.616117,1.104761,0.801831,0.749181,3.304942,3.299447,0.797948,4.927180,4.941920,0.004274
0.150058,0,0.001952,0.209825,0.148341,0.000000,0.000000,0.180547,0.282044,0.589380,0.000427,0.000427,0.003358,0.016361,3.701632,3.325809,1.798777,1.104394,0.615018,1.104761,0.801464,0.749181,3.305857,3.299447,0.797948,4.927180,4.935220,0.004274
0.200056,0,0.000000,0.210801,0.149317,0.000000,0.000000,0.191282,0.283020,0.598310,0.000305,0.000549,0.003358,0.016117,3.699776,3.292402,1.797800,1.107691,0.613919,1.104761,0.801098,0.749450,3.304942,3.302194,0.797655,4.924500,4.939240,0.004274
0.250056,0,0.000000,0.210801,0.145414,0.000000,0.000000,0.178595,0.279116,0.589380,0.000061,0.000427,0.003358,0.015507,3.710912,3.327664,1.797312,1.102197,0.616849,1.104028,0.800732,0.749450,3.305857,3.299447,0.797948,4.924500,4.939240,0.005128
0.300056,0,0.000000,0.212753,0.145414,0.000000,0.000000,0.193234,0.282044,0.598310,0.000183,0.000427,0.003236,0.015995,3.701632,3.298898,1.797800,1.110622,0.615750,1.102929,0.800365,0.749450,3.305857,3.300363,0.797948,4.928520,4.937900,0.005128
0.350055,0,0.000000,0.214705,0.146390,0.000000,0.000000,0.179571,0.281068,0.598310,0.000305,0.000427,0.003419,0.016117,3.704416,3.293330,1.798289,1.107691,0.616483,1.102929,0.801464,0.749718,3.306773,3.300363,0.797655,4.928520,4.939240,0.005128
0.400056,0,0.000000,0.211777,0.147365,0.000000,0.000000,0.177619,0.281068,0.598310,0.000183,0.000427,0.003236,0.015995,3.711840,3.294258,1.797800,1.103296,0.617216,1.104394,0.800732,0.749718,3.304942,3.300363,0.797948,4.928520,4.935220,0.005128
0.450056,0,0.000000,0.209825,0.146390,0.000000,0.000000,0.182499,0.280092,0.598310,0.000244,0.000549,0.003419,0.015995,3.710912,3.303538,1.798777,1.108424,0.614651,1.104028,0.800732,0.749450,3.304942,3.300363,0.797948,4.928520,4.939240,0.004274
0.490021,1,0.000000,0.209825,0.148341,0.001952,0.000000,0.180547,0.282044,1.080530,0.000183,0.000672,0.003358,0.016117,3.719264,3.295186,1.797312,1.109156,0.604029,1.105494,0.801831,0.749181,3.305857,3.300363,0.797948,4.928520,4.939240,0.004274
0.550056,1,0.000000,0.210801,0.146390,0.000000,0.000000,0.178595,0.283020,0.589380,0.000183,0.000672,0.003297,0.015751,3.710912,3.292402,1.796824,1.104761,0.615750,1.104028,0.799633,0.749987,3.305857,3.300363,0.797948,4.921820,4.929860,0.005128
0.600055,1,0.000000,0.222512,0.149317,0.000000,0.000000,0.179571,0.282044,0.669750,0.000183,0.000672,0.003358,0.016361,3.704416,3.291474,1.796824,1.102929,0.616117,1.102929,0.799267,0.784370,3.304942,3.299447,0.797948,4.917800,4.931200,0.004274
0.650055,1,0.000000,0.211777,0.150293,0.000000,0.000000,0.180547,0.278140,0.669750,0.000305,0.000672,0.003297,0.016117,3.697920,3.327664,1.796824,1.104761,0.615750,1.105127,0.801098,0.784908,3.305857,3.299447,0.797655,4.917800,4.924500,0.004274
0.700055,1,0.000000,0.210801,0.146390,0.000000,0.000000,0.181523,0.279116,0.589380,0.000183,0.000427,0.003358,0.016239,3.715552,3.307249,1.797312,1.102197,0.616483,1.101464,0.802930,0.749718,3.305857,3.300363,0.797948,4.928520,4.936560,0.004274
0.750055,1,0.000000,0.210801,0.147365,0.000000,0.000000,0.179571,0.281068,0.598310,0.000183,0.000672,0.003297,0.015995,3.711840,3.299826,1.797312,1.107691,0.616483,1.102929,0.799633,0.749718,3.305857,3.300363,0.797948,4.924500,4.941920,0.004274
0.800055,1,0.000000,0.208849,0.147365,0.000000,0.000000,0.178595,0.281068,0.589380,0.000549,0.000672,0.003358,0.015507,3.699776,3.298898,1.797800,1.102929,0.616117,1.104761,0.803296,0.749718,3.305857,3.300363,0.797948,4.928520,4.940580,0.004274
0.850056,1,0.000000,0.214705,0.148341,0.000000,0.000000,0.192258,0.282044,0.598310,0.000061,0.000427,0.003297,0.015507,3.704416,3.292402,1.796824,1.107691,0.616483,1.101464,0.800732,0.749450,3.304942,3.300363,0.797948,4.919140,4.935220,0.005128
0.900055,1,0.000976,0.211777,0.147365,0.000000,0.000000,0.178595,0.283020,0.598310,0.000366,0.000672,0.003358,0.016117,3.696993,3.293330,1.798289,1.107691,0.615750,1.104761,0.800732,0.749450,3.303110,3.299447,0.797655,4.924500,4.939240,0.004274
