duration_s,active,3V7_WL_SW_A current(0),3V3_SYS_A current(1),1V8_SYS_A current(2),DDR_VDD2_A current(3),DDR_VDDQ_A current(4),1V1_SYS_A current(5),0V8_SW_A current(6),VDD_CORE_A current(7),3V3_DAC_A current(17),3V3_ADC_A current(18),0V8_AON_A current(16),HDMI_A current(22),3V7_WL_SW_V volt(8),3V3_SYS_V volt(9),1V8_SYS_V volt(10),DDR_VDD2_V volt(11),DDR_VDDQ_V volt(12),1V1_SYS_V volt(13),0V8_SW_V volt(14),VDD_CORE_V volt(15),3V3_DAC_V volt(20),3V3_ADC_V volt(21),0V8_AON_V volt(19),HDMI_V volt(23),EXT5V_V volt(24),BATT_V volt(25)
0.000001,0,0.000000,0.209825,0.147365,0.000000,0.000000,0.177619,0.278140,0.634030,0.000183,0.000549,0.003358,0.015507,3.711840,3.301682,1.796824,1.109156,0.615018,1.102929,0.800732,0.748375,3.304026,3.299447,0.797655,4.924500,4.939240,0.004274
0.489509,1,0.000000,0.228368,0.146390,0.007807,0.000000,0.180547,0.283020,1.125180,0.000183,0.000672,0.003297,0.015507,3.703488,3.298898,1.796824,1.101830,0.600366,1.104761,0.799633,0.749987,3.304026,3.299447,0.797948,4.907080,4.929860,0.004274
2.000060,1,0.000000,0.212753,0.152245,0.000000,0.000000,0.181523,0.280092,0.955510,0.000183,0.000427,0.003358,0.015629,3.704416,3.293330,1.798289,1.101830,0.612454,1.104028,0.800732,0.879731,3.305857,3.300363,0.797362,4.912440,4.921820,0.004274
3.000058,1,0.000000,0.212753,0.152245,0.000000,0.000000,0.179571,0.281068,0.946580,0.000061,0.000672,0.003358,0.015263,3.704416,3.327664,1.797800,1.101830,0.611721,1.104028,0.800365,0.879193,3.304942,3.299447,0.797948,4.911100,4.923160,0.004274
4.000058,1,0.000976,0.209825,0.152245,0.000000,0.000000,0.178595,0.282044,0.955510,0.000244,0.000672,0.003419,0.015751,3.711840,3.293330,1.797312,1.109156,0.615018,1.101464,0.799633,0.879462,3.304026,3.298531,0.796776,4.907080,4.919140,0.004274
5.000056,1,0.000000,0.212753,0.151269,0.000000,0.000000,0.180547,0.281068,2.661140,0.000183,0.000427,0.003236,0.015507,3.697920,3.293330,1.796824,1.101464,0.606959,1.104761,0.800732,0.879731,3.304942,3.300363,0.797655,4.888320,4.904400,0.004274
6.000062,1,0.000976,0.211777,0.150293,0.000000,0.000000,0.181523,0.282044,0.785840,0.000183,0.000549,0.003297,0.016117,3.726687,3.301682,1.797312,1.104394,0.612087,1.100732,0.801098,0.809621,3.304942,3.300363,0.797948,4.920480,4.928520,0.004274
7.000071,1,0.000000,0.210801,0.152245,0.000000,0.000000,0.179571,0.281068,0.759050,0.000977,0.000549,0.003236,0.015385,3.715552,3.294258,1.797800,1.106226,0.615750,1.104761,0.800732,0.799682,3.304942,3.299447,0.797948,4.920480,4.925840,0.004274
8.000060,1,0.000000,0.210801,0.154197,0.000000,0.000000,0.181523,0.281068,0.955510,0.000183,0.000672,0.003358,0.015385,3.715552,3.301682,1.797800,1.101830,0.614651,1.102929,0.801831,0.879462,3.306773,3.299447,0.797655,4.911100,4.921820,0.004274
9.000057,1,0.000000,0.218608,0.153221,0.000000,0.000000,0.180547,0.282044,0.964440,0.000183,0.000427,0.003419,0.015629,3.711840,3.291474,1.797800,1.101464,0.615384,1.104028,0.800732,0.879193,3.304942,3.299447,0.797362,4.907080,4.920480,0.004274
10.000056,1,0.000000,0.213729,0.152245,0.000000,0.000000,0.180547,0.281068,1.446660,0.000183,0.000427,0.003419,0.016117,3.711840,3.291474,1.798289,1.104761,0.599999,1.100732,0.800732,0.879999,3.304942,3.299447,0.797655,4.884300,4.909760,0.004274
11.000057,1,0.000976,0.218608,0.152245,0.000000,0.000000,0.181523,0.282044,2.696860,0.000244,0.000549,0.003358,0.015629,3.697920,3.301682,1.798289,1.104761,0.599999,1.100732,0.800732,0.879999,3.304942,3.300363,0.797362,4.888320,4.903060,0.004274
12.000057,1,0.000000,0.210801,0.154197,0.000000,0.000000,0.179571,0.283020,1.696700,0.000183,0.000672,0.003297,0.015507,3.699776,3.301682,1.798289,1.104761,0.612820,1.104394,0.800365,0.879462,3.304942,3.300363,0.797655,4.912440,4.921820,0.004274
13.000056,1,0.000000,0.211777,0.153221,0.000000,0.000000,0.177619,0.281068,0.955510,0.000183,0.000427,0.003419,0.015751,3.711840,3.299826,1.799266,1.107691,0.615018,1.101464,0.800732,0.879462,3.304942,3.299447,0.797948,4.908420,4.921820,0.004274
14.000057,1,0.000000,0.213729,0.153221,0.000000,0.000000,0.179571,0.280092,0.964440,0.000244,0.000549,0.003419,0.015629,3.711840,3.357359,1.797312,1.101464,0.615750,1.102929,0.800365,0.879193,3.304942,3.299447,0.797948,4.911100,4.920480,0.004274
15.000058,1,0.000000,0.219584,0.154197,0.000000,0.000000,0.178595,0.281068,0.973370,0.000305,0.000672,0.003358,0.015385,3.711840,3.293330,1.798289,1.108424,0.612087,1.102929,0.802930,0.879462,3.304026,3.300363,0.797655,4.907080,4.919140,0.004274
16.000060,1,0.000976,0.212753,0.155173,0.000000,0.000000,0.189330,0.282044,0.973370,0.000244,0.000549,0.003419,0.015385,3.719264,3.327664,1.797312,1.101464,0.614285,1.102197,0.800732,0.879462,3.305857,3.300363,0.797655,4.911100,4.921820,0.004274
17.000058,1,0.000000,0.216657,0.153221,0.000000,0.000000,0.180547,0.281068,0.973370,0.000061,0.001038,0.003297,0.016117,3.704416,3.299826,1.798777,1.110622,0.606227,1.101098,0.800732,0.879193,3.304026,3.299447,0.797948,4.904400,4.900380,0.005128
18.000058,1,0.000000,0.213729,0.150293,0.000000,0.000000,0.179571,0.280092,0.794770,0.000122,0.000549,0.003419,0.015385,3.710912,3.291474,1.798289,1.109156,0.615018,1.102929,0.802930,0.809352,3.303110,3.300363,0.798241,4.916460,4.928520,0.004274
