duration_s,active,3V7_WL_SW_A current(0),3V3_SYS_A current(1),1V8_SYS_A current(2),DDR_VDD2_A current(3),DDR_VDDQ_A current(4),1V1_SYS_A current(5),0V8_SW_A current(6),VDD_CORE_A current(7),3V3_DAC_A current(17),3V3_ADC_A current(18),0V8_AON_A current(16),HDMI_A current(22),3V7_WL_SW_V volt(8),3V3_SYS_V volt(9),1V8_SYS_V volt(10),DDR_VDD2_V volt(11),DDR_VDDQ_V volt(12),1V1_SYS_V volt(13),0V8_SW_V volt(14),VDD_CORE_V volt(15),3V3_DAC_V volt(20),3V3_ADC_V volt(21),0V8_AON_V volt(19),HDMI_V volt(23),EXT5V_V volt(24),BATT_V volt(25)
0.000001,0,0.000000,0.195186,0.146390,0.000000,0.000000,0.178595,0.278140,0.544730,0.000244,0.000427,0.003114,0.016484,3.704416,3.289618,1.797312,1.104761,0.615750,1.104761,0.800732,0.749718,3.305857,3.300363,0.798241,4.919140,4.929860,0.004274
0.490216,1,0.000000,0.203969,0.145414,0.000000,0.000000,0.178595,0.278140,0.544730,0.000061,0.000672,0.003236,0.016606,3.700704,3.298898,1.797312,1.109156,0.607692,1.101098,0.801464,0.749987,3.303110,3.299447,0.797655,4.925840,4.935220,0.004274
4.000064,1,0.000000,0.201042,0.144438,0.000000,0.000000,0.179571,0.280092,0.535800,0.000061,0.000672,0.003297,0.016606,3.704416,3.299826,1.797312,1.109156,0.615750,1.101464,0.799267,0.749450,3.304942,3.299447,0.797948,4.928520,4.939240,0.003419
6.000061,1,0.000000,0.196162,0.147365,0.000000,0.000000,0.176643,0.281068,0.544730,0.000061,0.000427,0.003419,0.016606,3.699776,3.292402,1.798289,1.106226,0.613186,1.101098,0.798900,0.749450,3.304942,3.299447,0.797948,4.925840,4.929860,0.003419
8.000059,1,0.000000,0.196162,0.145414,0.000000,0.000000,0.179571,0.279116,0.553660,0.000061,0.000427,0.003297,0.017094,3.704416,3.291474,1.797312,1.102197,0.614285,1.104394,0.800365,0.749718,3.304942,3.299447,0.798241,4.924500,4.939240,0.004274
10.000060,1,0.000000,0.197138,0.146390,0.000000,0.000000,0.178595,0.282044,0.553660,0.000061,0.000427,0.003297,0.016484,3.697920,3.293330,1.798289,1.104028,0.615750,1.102929,0.799633,0.749987,3.304942,3.300363,0.797948,4.923160,4.939240,0.003419
12.000058,1,0.000000,0.199090,0.146390,0.000000,0.000000,0.179571,0.280092,0.544730,0.000183,0.000672,0.003236,0.016728,3.699776,3.301682,1.797800,1.101464,0.615018,1.099999,0.800732,0.748913,3.304026,3.300363,0.797948,4.925840,4.935220,0.004274
14.000062,1,0.000000,0.196162,0.148341,0.000000,0.000000,0.191282,0.279116,0.535800,0.000183,0.000672,0.003297,0.016728,3.697920,3.293330,1.797312,1.109156,0.615384,1.104761,0.800732,0.748644,3.305857,3.300363,0.798241,4.925840,4.937900,0.004274
16.000061,1,0.000000,0.197138,0.147365,0.000000,0.000000,0.189330,0.280092,0.535800,0.000061,0.000427,0.003297,0.016606,3.710912,3.292402,1.798289,1.107691,0.615384,1.101098,0.799633,0.749181,3.303110,3.301279,0.797948,4.925840,4.936560,0.004274
18.000062,1,0.000000,0.194210,0.146390,0.000000,0.000000,0.177619,0.280092,0.535800,0.000061,0.000427,0.003236,0.016606,3.704416,3.295186,1.797800,1.101830,0.616483,1.102929,0.800732,0.748644,3.305857,3.299447,0.797655,4.924500,4.936560,0.004274
20.000061,1,0.000000,0.195186,0.146390,0.000000,0.000000,0.191282,0.281068,0.544730,0.000061,0.000427,0.003419,0.016484,3.726687,3.293330,1.797312,1.104028,0.616117,1.099999,0.800732,0.749450,3.304026,3.299447,0.797948,4.925840,4.939240,0.003419
