duration_s,active,3V7_WL_SW_A current(0),3V3_SYS_A current(1),1V8_SYS_A current(2),DDR_VDD2_A current(3),DDR_VDDQ_A current(4),1V1_SYS_A current(5),0V8_SW_A current(6),VDD_CORE_A current(7),3V3_DAC_A current(17),3V3_ADC_A current(18),0V8_AON_A current(16),HDMI_A current(22),3V7_WL_SW_V volt(8),3V3_SYS_V volt(9),1V8_SYS_V volt(10),DDR_VDD2_V volt(11),DDR_VDDQ_V volt(12),1V1_SYS_V volt(13),0V8_SW_V volt(14),VDD_CORE_V volt(15),3V3_DAC_V volt(20),3V3_ADC_V volt(21),0V8_AON_V volt(19),HDMI_V volt(23),EXT5V_V volt(24),BATT_V volt(25)
0.000001,0,0.000000,0.196162,0.145414,0.000000,0.000000,0.177619,0.277164,0.535800,0.000061,0.000427,0.003114,0.016361,3.715552,3.293330,1.796824,1.107691,0.613919,1.099999,0.800732,0.749450,3.304942,3.299447,0.797948,4.925840,4.936560,0.004274
0.200061,0,0.000000,0.197138,0.145414,0.000000,0.000000,0.179571,0.279116,0.535800,0.000183,0.000427,0.003297,0.016606,3.699776,3.298898,1.795847,1.103296,0.615384,1.105494,0.800365,0.749181,3.304942,3.299447,0.797655,4.919140,4.936560,0.004274
0.400058,0,0.000976,0.198114,0.146390,0.000000,0.000000,0.179571,0.280092,0.535800,0.000183,0.000672,0.003419,0.016239,3.697920,3.327664,1.796824,1.104394,0.611721,1.104394,0.800365,0.749181,3.305857,3.299447,0.797655,4.923160,4.929860,0.004274
0.490209,1,0.000000,0.204945,0.147365,0.000000,0.000000,0.178595,0.279116,0.544730,0.000244,0.000549,0.003419,0.016606,3.711840,3.294258,1.797800,1.102929,0.617582,1.104761,0.801464,0.749718,3.305857,3.299447,0.797948,4.925840,4.939240,0.004274
0.800069,1,0.000000,0.197138,0.147365,0.000000,0.000000,0.178595,0.281068,0.544730,0.000061,0.000427,0.003297,0.016484,3.711840,3.327664,1.795847,1.101830,0.615018,1.100732,0.800732,0.749987,3.304942,3.300363,0.797655,4.927180,4.935220,0.003419
1.000060,1,0.000000,0.203969,0.144438,0.000000,0.000000,0.178595,0.279116,0.544730,0.000977,0.000672,0.003175,0.016606,3.697920,3.301682,1.796824,1.106226,0.616483,1.104028,0.800732,0.749181,3.304942,3.300363,0.798241,4.924500,4.935220,0.004274
1.200058,1,0.000000,0.205921,0.145414,0.000000,0.000000,0.178595,0.280092,0.535800,0.000061,0.000672,0.003236,0.016484,3.697920,3.292402,1.798289,1.104761,0.615018,1.103296,0.799633,0.749450,3.305857,3.299447,0.797948,4.927180,4.936560,0.004274
1.400056,1,0.000000,0.198114,0.145414,0.000000,0.000000,0.177619,0.279116,0.535800,0.000244,0.000549,0.003236,0.016484,3.710912,3.301682,1.796824,1.101464,0.615018,1.104761,0.798900,0.749450,3.304026,3.300363,0.797948,4.925840,4.935220,0.003419
1.600056,1,0.000000,0.197138,0.144438,0.000000,0.000000,0.178595,0.281068,0.535800,0.000061,0.000672,0.003175,0.016606,3.697920,3.297042,1.796824,1.107691,0.616483,1.100732,0.799267,0.749450,3.304942,3.299447,0.797948,4.919140,4.935220,0.003419
1.800062,1,0.000000,0.196162,0.147365,0.000000,0.000000,0.178595,0.279116,0.535800,0.000183,0.000427,0.003297,0.016606,3.711840,3.301682,1.797312,1.107691,0.616483,1.104394,0.799633,0.749450,3.303110,3.300363,0.797948,4.925840,4.935220,0.003419
2.000059,1,0.000000,0.196162,0.143462,0.000000,0.000000,0.191282,0.279116,0.544730,0.000061,0.000427,0.003297,0.017094,3.715552,3.307249,1.798289,1.102197,0.616483,1.102929,0.800732,0.749718,3.304942,3.300363,0.797948,4.925840,4.935220,0.004274
2.200057,1,0.000000,0.197138,0.146390,0.000000,0.000000,0.180547,0.279116,0.535800,0.000183,0.000427,0.003114,0.016606,3.704416,3.298898,1.797312,1.101830,0.615750,1.104394,0.800732,0.749450,3.304026,3.299447,0.797655,4.924500,4.933880,0.004274
